id,natcash_phone,name,parent_sa_id,tier,location_name,created_at
0094f17e-b50e-4bc8-a29a-9b24cb4ea321,+509 3269-8076,SA Ti Jan Bélizaire,,CHANPYON,Port-au-Prince,2025-07-01 12:00:00
8a3b5b69-6233-4d53-8eca-e604305809b4,+509 3250-5437,SA Madam Elize Célestin,,CHANPYON,Cap-Haïtien,2025-09-03 12:00:00
1bfcb54a-c373-4db1-83a5-c12dfe32476f,+509 3215-3597,SA Bò Bòzò Duval,,CHANPYON,Gonaïves,2025-06-13 12:00:00
bb0ae352-4c90-4b4d-a2e6-01b3b55a7e23,+509 3258-2395,SA Madam Filo Etienne,,CHANPYON,Les Cayes,2025-10-10 12:00:00
54699587-9f8f-4d09-b207-4666b61b6cca,+509 3250-6884,SA Ti Makè Francois,,CHANPYON,Port-de-Paix,2025-10-02 12:00:00
4e3c2efc-29eb-475a-8f55-35e783df453b,+509 3159-7823,Mackenson Gérard,8a3b5b69-6233-4d53-8eca-e604305809b4,GRAN_MET,Cap-Haïtien,2025-09-13 12:00:00
2e28e6ee-4af6-4461-a301-a0aa668e3e9b,+509 4154-3597,Florence Lafontant,54699587-9f8f-4d09-b207-4666b61b6cca,GRAN_MET,Port-de-Paix,2025-10-05 12:00:00
acf63192-440e-470a-b259-724aedf5209f,+509 4082-5478,Joseph Jean-Baptiste,54699587-9f8f-4d09-b207-4666b61b6cca,GRAN_MET,Port-de-Paix,2025-10-30 12:00:00
34a43899-df6d-4265-9f00-5cdf4a044c1c,+509 4114-4942,Madam Filo Bélizaire,54699587-9f8f-4d09-b207-4666b61b6cca,GRAN_MET,Port-de-Paix,2025-10-06 12:00:00
2eb8acc9-2634-48d4-b898-4b0a8b411f2d,+509 4094-2426,Pierre Etienne,54699587-9f8f-4d09-b207-4666b61b6cca,GRAN_MET,Port-de-Paix,2025-10-21 12:00:00
992b0fc4-a6db-432d-a5ad-4a05589e4539,+509 4091-9147,Dieudonné Etienne,8a3b5b69-6233-4d53-8eca-e604305809b4,GRAN_MET,Cap-Haïtien,2025-11-15 12:00:00
